high,low,volume,close,open,time
247.84,241.295,25035516.0,247.25,243.76,1666584000
251.04,245.83,34775505.0,250.66,247.26,1666670400
238.3,230.06,82589077.0,231.32,231.17,1666756800
233.69,225.78,40424645.0,226.75,231.04,1666843200
236.6,226.05,40608769.0,235.87,226.24,1666929600
234.92,231.15,28349085.0,232.13,233.76,1667188800
235.74,227.325,30602171.0,228.17,234.6,1667275200
231.3,220.04,37977398.0,220.1,229.46,1667361600
220.41,213.98,36633922.0,214.25,220.09,1667448000
221.59,213.431,36787832.0,221.39,217.55,1667534400
228.41,221.28,33497979.0,227.87,221.99,1667797200
231.65,225.84,28180939.0,228.87,228.7,1667883600
228.6327,224.33,27880165.0,224.51,227.37,1667970000
243.33,235.0,46263296.0,242.98,235.43,1668056400
247.99,241.93,34620246.0,247.11,242.99,1668142800
243.91,239.21,31121010.0,241.55,241.985,1668402000
247.0,240.03,31336176.0,241.97,245.66,1668488400
243.8,240.42,24093272.0,241.73,242.79,1668574800
243.25,237.63,23123544.0,241.68,237.78,1668661200
243.74,239.03,27613523.0,241.22,243.51,1668747600
244.67,241.19,26396199.0,242.05,241.43,1669006800
245.31,240.71,19665699.0,245.03,243.59,1669093200
248.28,244.27,19508462.0,247.58,245.105,1669179600
248.7,246.73,9200971.0,247.49,247.31,1669352400
246.65,240.8,24809167.0,241.76,246.08,1669611600
242.79,238.21,17956313.0,240.33,241.4,1669698000
255.33,239.86,47502238.0,255.14,240.57,1669784400
256.12,250.9156,26054508.0,254.69,253.87,1669870800
256.06,249.69,21528520.0,255.02,249.82,1669957200
253.819,248.06,23435294.0,250.2,252.01,1670216400
251.86,243.78,22463727.0,245.12,250.82,1670302800
246.16,242.205,20479475.0,244.37,244.83,1670389200
248.74,243.06,22611757.0,247.4,244.84,1670475600
248.31,244.16,20609242.0,245.42,244.695,1670562000
